domain,unit_id,budget,policy,reconstructor,psnr,ssim,nmse,nfe,wall_seconds,peak_memory_bytes,gpu,source_record_sha256
face,celeba-hq:1051,0.1,cm_spectral_repeat_k1,ddrm,34.634986877441406,0.9122110605239868,,5,9.48759737983346,1299664384,NVIDIA A100-SXM4-80GB,d557f00583a4c7a461c0ff23fafa8c0deee7317f5620149190e64ca5b98525ba
face,celeba-hq:1051,0.1,cm_spectral_repeat_k10,ddrm,35.136474609375,0.9197178483009338,,50,10.370502925477922,1302023680,NVIDIA A100-SXM4-80GB,d557f00583a4c7a461c0ff23fafa8c0deee7317f5620149190e64ca5b98525ba
face,celeba-hq:1051,0.1,cm_spectral_repeat_k5,ddrm,35.1910400390625,0.920824408531189,,25,9.74926742631942,1302023680,NVIDIA A100-SXM4-80GB,d557f00583a4c7a461c0ff23fafa8c0deee7317f5620149190e64ca5b98525ba
face,celeba-hq:1051,0.1,uniform,ddrm,29.95494842529297,0.8154656291007996,,0,1.0481744492426515,927876608,NVIDIA A100-SXM4-80GB,d557f00583a4c7a461c0ff23fafa8c0deee7317f5620149190e64ca5b98525ba
face,celeba-hq:1051,0.1,variable_density,ddrm,32.167606353759766,0.8568229675292969,,0,1.1933259149082005,930564096,NVIDIA A100-SXM4-80GB,d557f00583a4c7a461c0ff23fafa8c0deee7317f5620149190e64ca5b98525ba
face,celeba-hq:1051,0.25,adasense_matched,ddrm,39.55689239501953,0.969497561454773,,1000,12.293094411958009,3943142400,NVIDIA A100-SXM4-80GB,19512f0bc6d854a27fdeda6438aabc75104f3ba31c4a879355bdbf6a0c52611b
face,celeba-hq:1051,0.25,ads_matched,ddrm,38.3400764465332,0.9550331234931946,,80032,860.569217598997,36316853760,NVIDIA A100-SXM4-80GB,19512f0bc6d854a27fdeda6438aabc75104f3ba31c4a879355bdbf6a0c52611b
face,celeba-hq:1051,0.25,cm_spectral_once_k1,ddrm,37.14009475708008,0.9391710162162781,,1,2.9711226457729936,1297763328,NVIDIA A100-SXM4-80GB,19512f0bc6d854a27fdeda6438aabc75104f3ba31c4a879355bdbf6a0c52611b
face,celeba-hq:1051,0.25,cm_spectral_repeat_k1,ddrm,37.64009475708008,0.9483576416969299,,5,9.980243594851345,1299664384,NVIDIA A100-SXM4-80GB,19512f0bc6d854a27fdeda6438aabc75104f3ba31c4a879355bdbf6a0c52611b
face,celeba-hq:1051,0.25,cm_spectral_repeat_k10,ddrm,39.12263870239258,0.9640853404998779,,50,10.80231295991689,1302023680,NVIDIA A100-SXM4-80GB,19512f0bc6d854a27fdeda6438aabc75104f3ba31c4a879355bdbf6a0c52611b
face,celeba-hq:1051,0.25,cm_spectral_repeat_k5,ddrm,39.11469650268555,0.9644259810447693,,25,10.463885755743831,1302023680,NVIDIA A100-SXM4-80GB,19512f0bc6d854a27fdeda6438aabc75104f3ba31c4a879355bdbf6a0c52611b
face,celeba-hq:1051,0.25,uniform,ddrm,34.0844612121582,0.8883748650550842,,0,1.3732604631222785,927876608,NVIDIA A100-SXM4-80GB,19512f0bc6d854a27fdeda6438aabc75104f3ba31c4a879355bdbf6a0c52611b
face,celeba-hq:1051,0.25,variable_density,ddrm,35.81396484375,0.915351390838623,,0,1.4599199118092656,930564096,NVIDIA A100-SXM4-80GB,19512f0bc6d854a27fdeda6438aabc75104f3ba31c4a879355bdbf6a0c52611b
face,celeba-hq:1104,0.05,adasense_matched,ddrm,28.835350036621094,0.8345842957496643,,1000,12.098175419028848,3943142400,NVIDIA A100-SXM4-80GB,fc5c5ea5c1b03352001bb7bb46867a19203a54277785e3ca43d929cdc53b5e0e
face,celeba-hq:1104,0.05,ads_matched,ddrm,28.407649993896484,0.8256456255912781,,80032,858.5360810011625,36316853760,NVIDIA A100-SXM4-80GB,fc5c5ea5c1b03352001bb7bb46867a19203a54277785e3ca43d929cdc53b5e0e
face,celeba-hq:1104,0.05,cm_spectral_once_k1,ddrm,27.84756088256836,0.7966141104698181,,1,2.6050279173068702,1297763328,NVIDIA A100-SXM4-80GB,fc5c5ea5c1b03352001bb7bb46867a19203a54277785e3ca43d929cdc53b5e0e
face,celeba-hq:1104,0.05,cm_spectral_repeat_k1,ddrm,28.134483337402344,0.810394823551178,,5,9.494796148966998,1299664384,NVIDIA A100-SXM4-80GB,fc5c5ea5c1b03352001bb7bb46867a19203a54277785e3ca43d929cdc53b5e0e
face,celeba-hq:1104,0.05,cm_spectral_repeat_k10,ddrm,28.53530502319336,0.8247765898704529,,50,10.318646036088467,1302023680,NVIDIA A100-SXM4-80GB,fc5c5ea5c1b03352001bb7bb46867a19203a54277785e3ca43d929cdc53b5e0e
face,celeba-hq:1104,0.05,cm_spectral_repeat_k5,ddrm,28.375656127929688,0.8211079239845276,,25,9.900500937830657,1302023680,NVIDIA A100-SXM4-80GB,fc5c5ea5c1b03352001bb7bb46867a19203a54277785e3ca43d929cdc53b5e0e
face,celeba-hq:1104,0.05,uniform,ddrm,22.17898178100586,0.577485203742981,,0,0.9428983009420335,927876608,NVIDIA A100-SXM4-80GB,fc5c5ea5c1b03352001bb7bb46867a19203a54277785e3ca43d929cdc53b5e0e
face,celeba-hq:1104,0.05,variable_density,ddrm,23.934284210205078,0.6460822820663452,,0,1.088408709038049,930564096,NVIDIA A100-SXM4-80GB,fc5c5ea5c1b03352001bb7bb46867a19203a54277785e3ca43d929cdc53b5e0e
face,celeba-hq:1104,0.1,adasense_matched,ddrm,31.477542877197266,0.9014058709144592,,1000,11.995413146913052,3943142400,NVIDIA A100-SXM4-80GB,04f6bc337d002f7099ba94432023bbeaad8c2861bd8f825e34d32906087da432
face,celeba-hq:1104,0.1,ads_matched,ddrm,30.37142562866211,0.8787717223167419,,80032,860.537805408705,36316853760,NVIDIA A100-SXM4-80GB,04f6bc337d002f7099ba94432023bbeaad8c2861bd8f825e34d32906087da432
face,celeba-hq:1104,0.1,cm_spectral_once_k1,ddrm,28.592578887939453,0.8127036690711975,,1,2.7057498269714415,1297763328,NVIDIA A100-SXM4-80GB,04f6bc337d002f7099ba94432023bbeaad8c2861bd8f825e34d32906087da432
face,celeba-hq:1104,0.1,cm_spectral_repeat_k1,ddrm,29.777912139892578,0.8591685891151428,,5,10.096480327192694,1299664384,NVIDIA A100-SXM4-80GB,04f6bc337d002f7099ba94432023bbeaad8c2861bd8f825e34d32906087da432
face,celeba-hq:1104,0.1,cm_spectral_repeat_k10,ddrm,31.022872924804688,0.8883664608001709,,50,10.980503610800952,1302023680,NVIDIA A100-SXM4-80GB,04f6bc337d002f7099ba94432023bbeaad8c2861bd8f825e34d32906087da432
face,celeba-hq:1104,0.1,cm_spectral_repeat_k5,ddrm,30.89203643798828,0.8879225254058838,,25,10.315833583008498,1302023680,NVIDIA A100-SXM4-80GB,04f6bc337d002f7099ba94432023bbeaad8c2861bd8f825e34d32906087da432
face,celeba-hq:1104,0.1,uniform,ddrm,24.58849334716797,0.6616680026054382,,0,1.060679106041789,927876608,NVIDIA A100-SXM4-80GB,04f6bc337d002f7099ba94432023bbeaad8c2861bd8f825e34d32906087da432
face,celeba-hq:1104,0.1,variable_density,ddrm,27.081676483154297,0.7462828159332275,,0,1.2417682050727308,930564096,NVIDIA A100-SXM4-80GB,04f6bc337d002f7099ba94432023bbeaad8c2861bd8f825e34d32906087da432
face,celeba-hq:1104,0.25,adasense_matched,ddrm,35.87952423095703,0.9604548215866089,,1000,12.177818892989308,3943142400,NVIDIA A100-SXM4-80GB,88a123936ec0fcd514e77939319fe22a93d6cc9e7f826cf42d350cdcc95fb814
face,celeba-hq:1104,0.25,ads_matched,ddrm,34.17298889160156,0.9376041889190674,,80032,858.2377627771348,36316853760,NVIDIA A100-SXM4-80GB,88a123936ec0fcd514e77939319fe22a93d6cc9e7f826cf42d350cdcc95fb814
face,celeba-hq:1104,0.25,cm_spectral_once_k1,ddrm,32.7838249206543,0.9073614478111267,,1,2.8510444783605635,1297763328,NVIDIA A100-SXM4-80GB,88a123936ec0fcd514e77939319fe22a93d6cc9e7f826cf42d350cdcc95fb814
face,celeba-hq:1104,0.25,cm_spectral_repeat_k1,ddrm,33.06394577026367,0.9159248471260071,,5,9.467583735473454,1299664384,NVIDIA A100-SXM4-80GB,88a123936ec0fcd514e77939319fe22a93d6cc9e7f826cf42d350cdcc95fb814
face,celeba-hq:1104,0.25,cm_spectral_repeat_k10,ddrm,35.66752624511719,0.9559939503669739,,50,10.300682085100561,1302023680,NVIDIA A100-SXM4-80GB,88a123936ec0fcd514e77939319fe22a93d6cc9e7f826cf42d350cdcc95fb814
face,celeba-hq:1104,0.25,cm_spectral_repeat_k5,ddrm,35.633583068847656,0.956344485282898,,25,9.999959643930197,1302023680,NVIDIA A100-SXM4-80GB,88a123936ec0fcd514e77939319fe22a93d6cc9e7f826cf42d350cdcc95fb814
face,celeba-hq:1104,0.25,uniform,ddrm,29.907520294189453,0.8293116688728333,,0,1.3703265469521284,927876608,NVIDIA A100-SXM4-80GB,88a123936ec0fcd514e77939319fe22a93d6cc9e7f826cf42d350cdcc95fb814
face,celeba-hq:1104,0.25,variable_density,ddrm,32.14910125732422,0.8830428123474121,,0,1.3938330980017781,930564096,NVIDIA A100-SXM4-80GB,88a123936ec0fcd514e77939319fe22a93d6cc9e7f826cf42d350cdcc95fb814
face,celeba-hq:1121,0.05,adasense_matched,ddrm,27.702919006347656,0.8596307635307312,,1000,12.80919386819005,3943142400,NVIDIA A100 80GB PCIe,516702b38dd5f22272ec0c96f477aecec25bd8b892b5ead179be68221180fc32
face,celeba-hq:1121,0.05,ads_matched,ddrm,26.589553833007812,0.8589076399803162,,80032,934.3395381569862,36316853760,NVIDIA A100 80GB PCIe,516702b38dd5f22272ec0c96f477aecec25bd8b892b5ead179be68221180fc32
face,celeba-hq:1121,0.05,cm_spectral_once_k1,ddrm,27.37167739868164,0.8590992093086243,,1,2.416084637399763,1297763328,NVIDIA A100 80GB PCIe,516702b38dd5f22272ec0c96f477aecec25bd8b892b5ead179be68221180fc32
face,celeba-hq:1121,0.05,cm_spectral_repeat_k1,ddrm,27.080825805664062,0.8596605658531189,,5,8.817147876601666,1299664384,NVIDIA A100 80GB PCIe,516702b38dd5f22272ec0c96f477aecec25bd8b892b5ead179be68221180fc32
face,celeba-hq:1121,0.05,cm_spectral_repeat_k10,ddrm,27.39776611328125,0.8622247576713562,,50,9.692899319343269,1302023680,NVIDIA A100 80GB PCIe,516702b38dd5f22272ec0c96f477aecec25bd8b892b5ead179be68221180fc32
face,celeba-hq:1121,0.05,cm_spectral_repeat_k5,ddrm,27.422298431396484,0.8621364831924438,,25,9.081151474732906,1302023680,NVIDIA A100 80GB PCIe,516702b38dd5f22272ec0c96f477aecec25bd8b892b5ead179be68221180fc32
face,celeba-hq:1121,0.05,uniform,ddrm,21.84268569946289,0.6360180974006653,,0,0.8988954150117934,927876608,NVIDIA A100 80GB PCIe,516702b38dd5f22272ec0c96f477aecec25bd8b892b5ead179be68221180fc32
face,celeba-hq:1121,0.05,variable_density,ddrm,23.973716735839844,0.7078375220298767,,0,1.1059670601971447,930564096,NVIDIA A100 80GB PCIe,516702b38dd5f22272ec0c96f477aecec25bd8b892b5ead179be68221180fc32
face,celeba-hq:1121,0.1,adasense_matched,ddrm,30.877090454101562,0.9104012846946716,,1000,28.08492268016562,3943142400,NVIDIA A40,57d155d906b61dc6053f6107918f2bbed0ddd1e3f416a1b7b8f124d9b9f043cb
face,celeba-hq:1121,0.1,ads_matched,ddrm,29.61099624633789,0.8995875716209412,,80032,2136.7372778812423,36316853760,NVIDIA A40,57d155d906b61dc6053f6107918f2bbed0ddd1e3f416a1b7b8f124d9b9f043cb
face,celeba-hq:1121,0.1,cm_spectral_once_k1,ddrm,29.428749084472656,0.8825233578681946,,1,3.5882472191005945,1331321856,NVIDIA A40,57d155d906b61dc6053f6107918f2bbed0ddd1e3f416a1b7b8f124d9b9f043cb
face,celeba-hq:1121,0.1,cm_spectral_repeat_k1,ddrm,29.44080352783203,0.8883607983589172,,5,11.982640647795051,1333222912,NVIDIA A40,57d155d906b61dc6053f6107918f2bbed0ddd1e3f416a1b7b8f124d9b9f043cb
face,celeba-hq:1121,0.1,cm_spectral_repeat_k10,ddrm,30.474098205566406,0.9099336862564087,,50,13.467003898695111,1335582208,NVIDIA A40,57d155d906b61dc6053f6107918f2bbed0ddd1e3f416a1b7b8f124d9b9f043cb
face,celeba-hq:1121,0.1,cm_spectral_repeat_k5,ddrm,30.511089324951172,0.911534309387207,,25,12.512793035712093,1335582208,NVIDIA A40,57d155d906b61dc6053f6107918f2bbed0ddd1e3f416a1b7b8f124d9b9f043cb
